City,Date,PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,Xylene,AQI,AQI_Bucket
Baguio City,9/2/2023,12.98,38,5.4,68.18,40.73,15.31,1.06,13.42,47.46,0.06,0.36,0.11,,
Baguio City,5/1/2023,12.92,31.23,29.13,85.01,68.98,14.32,1.15,10.68,40.2,0.06,0.1,0.1,,
Baguio City,6/6/2023,20.75,40.77,6.08,69.13,41.71,13.58,1.27,17.71,48.7,0.06,0.1,0.1,,
Baguio City,6/18/2023,16.06,47.05,3.04,61.14,35.07,15.38,1.11,16.63,62.74,0.08,0.14,0.1,,
Baguio City,5/13/2023,18.63,40.95,13.08,83.44,55.08,14.61,1.58,12.92,43.18,0.08,0.19,0.1,,
Baguio City,11/25/2023,11.2,46.31,15.23,74.7,49.36,10.83,1.03,18.7,37.16,0.07,0.09,0.1,,
Baguio City,12/2/2023,17.18,48.56,7.69,25.85,20.1,10.97,0.74,12.37,32.23,0.05,0.06,0.1,,
Baguio City,10/30/2023,18.97,39.14,2.61,16.37,10.79,17.41,0.76,8.47,38.97,0,0,0.1,,
Baguio City,4/19/2023,15.53,52.61,6.38,23.26,17.36,16.81,0.86,16.7,34.16,0.01,0.05,0.14,,
Baguio City,4/29/2023,18.16,48.6,1.02,16.86,9.76,13.91,0.52,10.21,32.14,0.01,0.06,0.1,,
Baguio City,3/13/2023,10.95,39.72,3.19,17.12,11.14,16.46,0.66,10.22,39.91,0.01,0.02,0.1,,
Baguio City,8/24/2023,13.89,42.62,4.03,26.18,17.28,13.97,0.66,9.84,39.63,0.02,0.05,0.1,,
Baguio City,5/29/2023,10.78,36.52,3.01,28.42,17.6,14.9,0.74,10.43,41.96,0.06,0.1,0.1,,
Baguio City,8/19/2023,16.13,34.21,15.49,35.52,31.56,16.42,0.84,9.78,37.99,0.05,0.08,0.11,,
Baguio City,4/11/2023,13.24,52.3,2.29,22.82,13.91,16.94,0.7,6.98,40.95,0.02,0.02,0.1,,
Baguio City,6/6/2023,11.94,39.38,2.59,15.97,10.54,14.52,0.55,7.78,32.91,0,0.01,0.1,,
Baguio City,9/3/2023,11.88,37.04,1.38,13.31,8.16,12.92,0.54,13.52,27.85,0,0.01,0.1,,
Baguio City,8/7/2023,10.07,49,7.55,17.35,15.37,10.31,0.59,12.99,24.83,0,0,0.1,,
Baguio City,11/3/2023,11.11,48.13,8.59,17.16,16.19,11.98,0.72,10.51,19.85,0,0,0.1,,
Baguio City,6/5/2023,20.23,48.26,7.19,15.26,14.04,9.84,0.58,10.5,24.21,0,0.01,0.1,,
Baguio City,1/9/2023,10.01,38.36,18.66,21.18,26.51,9.69,0.72,8.3,27.25,0,0.04,0.15,,
Baguio City,2/17/2023,14.18,32.31,26.53,25.18,35.05,10.43,0.64,14.78,30.4,0,0.04,0.1,,
Baguio City,4/12/2023,11.54,46.18,43.76,28.73,50.94,9.94,0.8,9.67,31.72,0.02,0.07,0.11,,
Baguio City,4/27/2023,12.23,35.23,18.77,24.64,28.36,13.1,0.53,14.5,35.13,0.02,0.05,0.12,,
Baguio City,8/15/2023,16.39,38.76,3.59,18.86,13.05,14.69,0.51,13.5,30.89,0,0.01,0.1,,
Baguio City,6/12/2023,15.68,40.17,3.89,12.56,9.93,11.9,0.46,11.27,19.85,0,0,0.1,,
Baguio City,9/23/2023,16.47,37.49,2.82,8.15,6.69,9.17,0.4,10.43,23.58,0,0.01,0.1,,
Baguio City,3/23/2023,12.49,33.26,3.23,13.32,9.81,9.1,0.56,15.85,25.36,0,0.01,0.1,,
Baguio City,8/2/2023,20.49,53.78,2.49,9.07,6.97,11.97,0.52,11.04,33.63,0,0.01,0.1,,
Baguio City,2/24/2023,13.65,40.7,2.9,8.11,6.76,10.79,0.44,8.55,27.48,0,0,0.1,,
Baguio City,8/15/2023,12.72,43.17,5.46,12,10.75,11.3,0.43,5.49,23.63,0,0,0.1,,
Baguio City,4/10/2023,15.15,51.57,2.9,10.62,8.02,11.85,0.41,11.52,19.77,0,0,0.1,,
Baguio City,11/24/2023,12.68,42.83,3.11,13.02,9.5,12.13,0.5,14.74,33.17,0,0.01,0.1,,
Baguio City,1/29/2023,16.52,53.68,2.37,16.7,10.86,12.82,0.69,15.37,44.06,0.08,0.18,0.16,,
Baguio City,10/3/2023,20.49,43.45,1.68,13.22,8.24,13.14,0.57,11.6,44.93,2.25,4.15,0.74,,
Baguio City,6/26/2023,13.11,45.27,2.15,8.68,6.38,11.34,0.62,10.98,31.2,1.7,4.48,0.42,,
Baguio City,8/28/2023,19.17,41.44,2.82,9.92,7.57,11.03,0.69,12.43,29.66,1.38,5.33,0.54,,
Baguio City,2/4/2023,19.4,33.94,4.02,8.02,7.5,9.45,0.35,12.07,22.33,1.05,4.23,0.34,,
Baguio City,2/21/2023,13.19,37.48,2.6,8.45,6.56,8.86,0.53,14.06,22.67,0.95,3.31,0.29,,
Baguio City,11/8/2023,17.72,45.89,5.03,15.67,12.51,9.74,0.41,13.33,27.15,1.01,6.81,0.67,,
Baguio City,6/24/2023,10.04,47.7,4.4,17.4,12.91,11.1,0.4,9.21,31.25,0.86,4.9,0.37,,
Baguio City,2/25/2023,11.5,44.14,14.09,24.88,24.78,9.4,0.45,8.16,27.19,1.07,9.76,1.02,,
Baguio City,5/1/2023,14.92,46.59,6.29,19.29,15.47,9.87,0.64,11.35,29.47,1.03,6.87,0.58,,
Baguio City,8/16/2023,18.57,33.73,4.18,14.19,11.01,10.37,0.46,7.42,22.03,1.46,5.11,0.44,,
Baguio City,11/5/2023,12.76,47.6,6.5,14.86,12.92,11.63,0.58,7.89,28.04,1.74,9.37,0.68,,
Baguio City,8/6/2023,15.24,38.52,7.47,13.59,13.38,7.71,0.56,10.99,21.12,1.17,4.07,0.33,,
Baguio City,2/4/2023,10.36,39.66,2.18,9.6,6.94,6.44,0.68,9.51,29.78,1.87,3.29,0.26,,
Baguio City,4/20/2023,11.4,40.6,2.04,7.75,5.44,7.63,0.7,9.14,32.42,4.88,2.68,2.27,,
Baguio City,3/18/2023,12.96,31.04,1.13,6.24,4.23,7.09,0.5,7.63,36.81,1.7,2.82,0.13,,
Baguio City,7/25/2023,14.76,48.7,2.86,12.03,8.56,5.6,0.53,10.27,29.46,1.18,3.57,0.28,,
Baguio City,9/22/2023,12.82,40.38,9.37,14.63,15.49,5.75,0.53,8.61,29.24,1.4,4.5,0.38,,
Baguio City,4/12/2023,11.06,32.05,2.41,8.02,5.87,6.06,0.47,9.11,29.02,1.46,3.2,0.2,,
Baguio City,7/26/2023,14.26,50.4,2.89,10.15,7.82,5.53,0.5,13.84,21.8,1.51,3.77,0.25,,
Baguio City,11/7/2023,12.54,50.17,3.09,9.93,7.87,5.76,0.49,10.38,21.95,1.2,3.07,0.21,,
Baguio City,7/13/2023,10.68,39.05,2.23,10.84,7.69,7.15,0.54,12.07,32.91,1.09,3.83,0.24,,
Baguio City,11/21/2023,11.06,43.02,3.41,12.49,9.43,6.62,0.54,12.69,28.07,1.18,3.54,0.3,,
Baguio City,5/23/2023,10,49.56,2.56,9.81,7.4,6.81,0.45,8.19,30.44,1.08,2.73,0.21,,
Baguio City,2/28/2023,17.28,41.79,1.74,9.49,6.53,8.36,0.56,17.06,42.66,1.26,2.14,0.18,,
Baguio City,6/22/2023,19.65,47.9,1.11,9.26,5.64,7.66,0.58,16.56,34.64,0.69,3.43,0.22,,
Baguio City,2/27/2023,12.96,48.07,1.55,7.48,4.74,7.56,0.69,12.4,38.42,0.52,3.58,0.15,,
Baguio City,7/22/2023,15.38,52.42,1.54,8.62,5.72,6.27,0.71,14.7,31.67,1.13,2.43,0.22,,
Baguio City,6/11/2023,14.89,40.28,1.4,5.59,4.08,6.03,0.48,9.15,25.97,1.09,1.72,0.15,,
Baguio City,8/19/2023,17.79,48.59,3.77,7.21,6.99,5.55,0.64,10.24,20.32,1.33,2.13,0.23,,
Baguio City,9/3/2023,11.82,36.42,3.12,6.06,5.7,5.8,0.67,13.03,28.03,1.06,2.11,0.15,,
Baguio City,9/5/2023,19.26,46.42,2.2,5.25,3.94,6.21,0.62,12.96,40.3,0.51,2.03,0.16,,
Baguio City,1/31/2023,10.66,49.77,1.42,7.03,4.48,4.36,0.76,10.88,38.75,0.8,1.6,0.15,,
Baguio City,11/20/2023,11.58,34.64,1.45,4.2,3.38,4.21,0.57,12.69,22.15,0.69,1.25,0.13,,
Baguio City,11/19/2023,17.77,42.92,1.56,4.48,3.53,4.22,0.63,10.9,26.79,0.71,1.43,0.12,,
Baguio City,2/8/2023,12.55,48.11,1.14,3.14,2.26,4.47,0.61,8.92,39.57,0.67,2.24,0.12,,
Baguio City,4/5/2023,20.47,34.92,0.46,2.04,0.86,3.7,0.4,13.09,33.05,0.63,1.54,0.12,,
Baguio City,12/30/2023,15.96,41.38,2.53,5.32,4.04,3.95,0.58,14.02,30.87,0.78,2.17,0.16,,
Baguio City,1/7/2023,12.21,41.94,2.4,9.61,6.54,3.98,0.39,11.84,46.66,0.67,2.74,0.25,,
Baguio City,5/5/2023,17.17,32.01,1.12,6.04,4.03,3.86,0.36,14.45,28.78,0.62,1.37,0.14,,
Baguio City,5/5/2023,10.61,38.93,1.94,11.38,7.46,3.49,0.64,18.42,19.94,0.33,2.13,0.18,,
Baguio City,5/23/2023,15.89,52.14,2.19,20.61,12.25,4.81,0.65,22.54,20.53,0.67,2.07,0.21,,
Baguio City,2/4/2023,20.44,40.48,2.19,17.13,10.91,7.6,0.54,15.71,25.28,0.52,2.02,0.18,,
Baguio City,5/25/2023,10.3,33.44,2.65,13.78,9.52,6.54,0.51,10.6,26.51,0.16,3.11,0.14,,
Baguio City,10/22/2023,11.21,39.88,3.35,13.27,9.6,7.05,0.59,12.58,26.46,0.19,2.64,0.12,,
Baguio City,7/1/2023,14.19,40.92,2.81,12.29,8.89,4.58,0.35,17.07,24.65,0.27,2.25,0.14,,
Baguio City,5/8/2023,11.2,38.78,1.48,12.59,7.81,3.34,0.32,21.81,28.75,0.01,2.55,0.14,,
Baguio City,10/15/2023,18.97,40.4,2.29,19.85,11.65,4.32,0.48,23.3,39.42,0.39,2.28,0.23,,
Baguio City,10/13/2023,19.92,35.61,8.38,29.05,22.21,3.97,0.58,16.03,23.73,0.41,3.95,0.48,,
Baguio City,6/24/2023,11.75,48.53,2.68,18.08,11.89,4.04,0.48,12.66,27.14,0.25,2.73,0.21,,
Baguio City,10/11/2023,15.37,34.78,4.67,18.74,13.85,6.85,0.48,12.78,25.81,0.24,1.43,0.13,,
Baguio City,7/3/2023,12.68,31.28,2.79,18.31,12.1,8.01,0.51,8.71,34.54,0.19,1.79,0.13,,
Baguio City,9/22/2023,17.04,50.48,1.97,16.88,10.58,5.65,0.66,16.4,34.16,0.38,1.13,0.11,,
Baguio City,9/30/2023,12.23,53.17,2.16,15.11,9.79,4.67,0.42,13.67,23.72,0.11,1.33,0.18,,
Baguio City,8/17/2023,13.08,48.41,2.1,15.46,9.94,4.07,0.31,12.72,23.43,0.06,1.73,0.13,,
Baguio City,9/20/2023,18.95,44.45,1.99,19.23,11.85,4.84,0.4,13.57,35.2,0.05,1.84,0.18,,
Baguio City,1/21/2023,13.4,50.58,2.87,23.54,14.82,3.53,0.64,26.8,38.05,0.45,2.85,0.27,,
Baguio City,1/27/2023,17.68,50.58,1.76,27.29,16.03,3.52,0.98,16.06,56.99,0.57,3.44,0.37,,
Baguio City,6/23/2023,15.04,33,3.54,35.92,21.98,5.61,0.78,16.59,58.87,0.7,5.18,0.51,,
Baguio City,6/7/2023,11.18,31.98,1.17,22.32,12.89,7.12,0.53,16.97,67.99,0.35,2.22,0.38,,
Baguio City,8/13/2023,14.8,37.47,1.12,23.24,13.25,6,0.52,15.33,69.15,0.35,1.97,0.18,,
Baguio City,2/18/2023,16.42,40.24,1.53,20.22,12.09,7.92,0.64,22.25,68.43,0.3,2.17,0.15,,
Baguio City,8/17/2023,10.33,47.31,1.14,18.58,10.81,7.81,0.44,13.03,51.98,0.14,1.37,0.12,,
Baguio City,5/10/2023,15.68,38.3,0.95,26.89,13.92,4.26,0.77,25.9,73.55,0.48,4,0.2,,
Baguio City,3/7/2023,10.53,38.8,1.4,24.31,13.78,5.75,0.7,30.4,74.3,0.34,2.48,0.18,,
Baguio City,10/1/2023,20.76,51.78,1.63,19.79,12,7.06,0.63,19.26,54.72,0.34,2.48,0.12,,
Baguio City,6/25/2023,17.48,31.97,1.74,19.29,11.72,6.98,0.59,17.83,49.82,0.33,1.68,0.12,,
Baguio City,10/3/2023,17.09,41.19,1.15,37,20.6,5.35,0.78,23.6,37.05,0.45,3.7,0.35,,
Baguio City,8/9/2023,14.13,49.75,1.82,19.59,12.05,6.69,0.78,23.1,45.48,0.17,1.68,0.1,,
Baguio City,3/4/2023,18.3,50.43,1.99,21.47,13.17,4.15,0.5,25.09,43.31,0.06,1.6,0.11,,
Baguio City,8/23/2023,17.68,50.14,1.7,19.98,12.12,6.69,0.7,24.2,42.21,0.14,1.32,0.11,,
Baguio City,8/25/2023,18.84,33.18,1.93,20.32,12.54,4.91,0.53,21.47,43.36,0.23,2.08,0.12,,
Baguio City,9/4/2023,15.87,31.73,2,21.71,13.26,5.96,0.67,24.72,42.13,0.31,1.77,0.16,,
Baguio City,1/29/2023,15.51,43.54,0.8,17.33,9.84,4.32,0.47,17.09,44.47,0.06,1.16,0.11,,
Baguio City,10/21/2023,10.4,32.24,0.91,18.93,10.8,4.17,0.53,23.95,45.97,0.06,1.32,0.11,,
Baguio City,3/4/2023,10.2,53.73,1.83,19.42,11.91,4.01,0.61,21.27,34.54,0.15,1.24,0.11,,
Baguio City,11/17/2023,12.87,51.06,1.86,20.68,12.51,3.36,0.49,16.73,19.84,0.1,1.17,0.14,,
Baguio City,12/24/2023,16.51,52.42,2.18,18.38,11.7,3.7,0.79,27.47,41.48,0.11,1.27,0.1,,
Baguio City,8/6/2023,19.53,45.27,1.27,16.96,10.05,3.25,0.72,13.67,30.35,0.21,1.02,0.11,,
Baguio City,6/15/2023,12.75,45.3,1.5,17.83,10.77,3.8,0.63,14.71,37.15,0.17,1.46,0.11,,
Baguio City,6/6/2023,17.73,48.13,1.7,17.31,10.2,4.07,0.89,18.61,48.85,0.21,1.82,0.11,,
Baguio City,11/16/2023,15.19,45.26,0.71,16.93,9.55,3.35,0.51,14.62,54.63,0.14,1.55,0.14,,
Baguio City,5/20/2023,11.26,33.79,1.31,18,10.69,4.51,0.47,13.86,51.56,0.14,1.27,0.11,,
Baguio City,11/6/2023,17.49,46.96,1.47,18.03,10.88,4.47,0.52,17.79,42.23,0.14,1.09,0.11,,
Baguio City,7/30/2023,20.48,36.34,1.45,16.29,9.94,4.22,0.48,15.76,42.04,0.14,1.06,0.11,,
Baguio City,2/5/2023,17.81,38.49,2.11,26.44,15.85,3.85,0.57,19.96,45.17,0.23,2.96,0.15,,
Baguio City,5/23/2023,11.89,51.93,0.97,17.39,10.05,4.06,0.51,14.55,48.97,0.03,1.06,0.12,,
Baguio City,12/3/2023,19.8,50.56,1.66,22.98,13.65,4.84,0.77,17.7,39.43,0.16,1.62,0.19,,
Baguio City,3/3/2023,18.07,49.82,0.72,18.25,10.27,4.59,0.5,16.21,54.72,0.05,1.29,0.13,,
Baguio City,2/24/2023,19.81,52.66,1.39,20.17,11.91,4,0.45,18.1,43.53,0.13,1.09,0.13,,
Baguio City,3/7/2023,20.19,39.38,1.54,27.54,15.99,3.61,0.95,17.17,42.88,0.17,2.37,0.24,,
Baguio City,4/28/2023,18.97,48.38,0.66,19.93,10.94,4.56,0.46,21.35,54.64,0.06,1.09,0.11,,
Baguio City,7/30/2023,13.29,33.49,1.81,26.79,9.83,12.18,0.53,26.62,41.27,0.28,1.46,0.16,,
Baguio City,8/19/2023,14.19,38.28,1.52,24.2,13.97,5.86,0.52,23.46,56.71,0.15,1.38,0.12,,
Baguio City,1/2/2023,18.85,42.96,2.87,26.2,16.27,7.52,0.58,17.18,55.48,0.03,1.32,0.14,,
Baguio City,12/3/2023,11.26,42,0.73,20.95,11.65,5.5,0.52,15.99,75.1,0.07,1.06,0.12,,
Baguio City,1/3/2023,14.11,48.75,2.62,25.07,15.42,5.06,0.5,18.35,62.52,0.13,1.19,0.18,,
Baguio City,9/18/2023,11.63,49.78,3.61,24.16,15.86,4.78,0.37,14.02,44.59,0.08,1.26,0.12,,
Baguio City,5/11/2023,13.04,38.38,5,29.99,20.12,4.69,0.34,13.82,41.43,0.09,1.65,0.13,,
Baguio City,4/5/2023,13.89,43,4.88,33.11,21.72,3.35,0.49,17.28,38.1,0.2,2.31,0.1,,
Baguio City,8/22/2023,13.94,44.24,3.23,24.02,15.47,2.09,0.36,16.48,32.84,0.27,1.13,0.12,,
Baguio City,7/10/2023,11.84,34.12,1.53,18.88,11.36,3.49,0.38,14.79,38.49,0.08,0.96,0.2,,
Baguio City,4/29/2023,16.01,53.94,0.8,18.26,10.36,2.01,0.31,9.68,47.37,0.22,1.39,0.1,,
Baguio City,9/28/2023,19.21,45.85,3.71,28.19,18.1,4.94,0.49,14.94,30.27,0.18,3.67,0.18,,
Baguio City,6/5/2023,19.9,43.75,7.98,36.52,26.01,2.85,0.46,13.66,30.54,0.27,3.55,0.44,,
Baguio City,2/12/2023,13.48,52.86,2.87,27.95,16.23,4.57,0.44,18.83,38.25,0.27,3.08,0.19,,
Baguio City,9/30/2023,16.16,33.64,3.87,25.45,16.74,4.45,0.45,18.94,34.87,0.28,1.73,0.14,,
Baguio City,11/8/2023,11.67,36.06,2.87,29.14,17.92,4.79,0.57,16.39,32.98,0.18,2.02,0.15,,
Baguio City,11/18/2023,20.93,41.56,1.54,25.75,15.04,5.54,0.5,16.01,36.19,0.04,1.81,5.99,,
Baguio City,4/25/2023,13.26,44.21,1,24.16,13.66,4.77,0.46,14.9,40.53,0.06,1.31,0.2,,
Baguio City,4/18/2023,16.49,40.21,1.43,20.53,12.15,5.4,0.43,16.53,42.92,0.11,1.04,0.11,,
Baguio City,1/26/2023,17.59,37.36,2.36,30.66,18.32,4.41,0.76,14.36,38.26,0.08,2.31,0.28,,
Baguio City,2/1/2023,17.99,34.69,4.83,36.24,23.3,4.23,0.73,17.88,24.68,0.08,2.16,0.31,,
Baguio City,9/14/2023,20.11,34.98,3.08,26.62,16.74,3.09,0.53,17.43,27.85,0.1,1.04,0.17,,
Baguio City,5/13/2023,16.98,36.72,2.1,22,13.49,3.36,0.36,19.5,32.37,0.07,0.44,0.1,,
Baguio City,8/6/2023,19.24,35.85,1.72,20.71,12.5,2.82,0.32,18.01,32.91,0.05,0.23,0.1,,
Baguio City,4/21/2023,19.47,43.2,1.2,22.16,12.76,2.1,0.35,17,40.21,0.03,0.41,0.1,,
Baguio City,9/4/2023,15.34,36.83,4.39,29.37,19.27,2.9,0.42,16.27,29.58,0.11,0.91,0.24,,
Baguio City,12/24/2023,13.52,53.99,6.49,29.88,21.26,2.4,0.59,13.78,23.41,0.07,0.72,0.12,,
Baguio City,8/5/2023,17.12,47.72,7.23,30.62,22.26,2.68,0.61,12.6,27.29,0.09,0.67,0.1,,
Baguio City,7/28/2023,17.98,49.57,11.11,30.36,25.27,2.7,0.57,14.32,26.69,0.27,0.83,0.16,,
Baguio City,8/20/2023,13.75,32.53,8.27,25.22,20.23,2.46,0.62,16.24,22.99,0.23,1.38,0.59,,
Baguio City,7/24/2023,17.49,52.65,2.55,18,11.62,3.43,0.58,18.86,26.64,0.21,0.49,0.16,,
Baguio City,10/24/2023,15.29,35.44,0.93,18.2,10.43,1.28,0.39,23.12,30.24,0.09,0.56,0.16,,
Baguio City,6/28/2023,20.96,48.81,2.64,22.88,14.4,1.91,0.33,17.88,25.83,0.17,0.97,0.17,,
Baguio City,4/19/2023,14.53,40.8,4.61,23.47,16.32,1.62,0.28,17.09,27.47,0.11,0.82,0.15,,
Baguio City,10/31/2023,11.45,34.42,5.45,25.64,18.15,2.13,0.51,20.09,32.1,0.15,1.14,0.11,,
Baguio City,6/13/2023,17.68,38.08,5.24,26.2,18.29,2.44,0.34,23.89,26.88,0.2,1.2,0.11,,
Baguio City,12/20/2023,16.3,50.44,5.28,22.68,16.42,2.06,0.56,22.58,25.94,0.15,2.15,0.18,,
Baguio City,2/25/2023,15.9,44.46,1.25,4.58,3.13,3.6,0.42,14.79,36.77,0.2,1.3,0.25,,
Baguio City,5/30/2023,20.3,38.25,0.74,3.7,2.34,2.84,0.4,15.89,31.62,0.03,0.56,0.17,,
Baguio City,8/7/2023,16.24,36.07,2.92,9.95,7.26,2.99,0.36,16.35,32.13,0.12,1.45,0.22,,
Baguio City,4/7/2023,20.33,50.33,4.68,17.05,12.96,2.72,0.47,15.46,27.69,0.18,2.6,0.29,,
Baguio City,8/29/2023,13.33,41.35,4.74,19.35,14.24,5.9,0.45,19.19,31.87,0.44,16.07,0.39,,
Baguio City,6/1/2023,19.66,43.54,3.29,16.01,11.13,5.05,0.43,12.93,35.8,0.18,2.28,0.21,,
Baguio City,4/24/2023,15.84,34.82,2.14,13.16,8.82,6.07,0.54,20.51,33.08,0.08,1.4,0.26,,
Baguio City,7/29/2023,16.83,49.19,1.11,5.65,3.93,5.5,0.44,13.82,37.65,0.05,1.13,0.26,,
Baguio City,2/12/2023,13.84,49.18,1.25,4.64,3.56,4.81,0.49,9.71,34.63,0.03,0.98,0.18,,
Baguio City,11/21/2023,15.29,37.02,2.53,9.64,7.23,4.25,0.5,15.68,29.49,0.09,1.26,0.2,,
Baguio City,8/14/2023,14.03,43.61,8.56,12.71,13.79,3.87,0.42,15.77,22.09,0.09,0.98,0.16,,
Baguio City,1/6/2023,13.51,48.48,2.09,7.06,5.44,3.02,0.32,9.04,24.9,0.11,0.85,0.12,,
Baguio City,4/10/2023,16.8,40.5,12.82,24.43,23.57,2.84,0.38,21.66,27.89,0.11,1.35,0.27,,
Baguio City,7/5/2023,13.78,46.03,4.57,10.04,8.96,3.4,0.38,12.51,20.01,0.09,0.96,0.15,,
Baguio City,7/8/2023,11.78,50.68,1.4,3.94,2.89,3.12,0.55,14.14,22.33,0.13,0.94,0.16,,
Baguio City,12/19/2023,13.19,52.31,0.65,2.08,1.4,2.17,0.33,12.58,22.05,0,0.38,0.1,,
Baguio City,5/11/2023,11,38.92,5.81,11.39,9.53,2.47,0.56,21.15,19.61,0.1,0.84,0.15,,
Baguio City,10/1/2023,13.57,46.55,5.36,10.03,9.41,1.87,0.31,14.72,22.5,0.19,0.98,0.13,,
Baguio City,4/5/2023,10.52,46.33,2.17,4.4,4.19,2.59,0.38,11.66,24.46,0.2,0.88,0.11,,
Baguio City,9/22/2023,18.5,41.38,1.77,4.43,3.76,2.43,0.39,13.83,20.11,0.06,0.5,0.21,,
Baguio City,1/31/2023,13.82,52.83,1.61,1.52,1.86,2.44,0.46,13.29,18.07,0.04,0.26,0.1,,
Baguio City,4/13/2023,11.59,40.98,1.48,3.35,2.36,4.4,0.32,11.83,20.23,0.09,0.36,0.1,,
Baguio City,12/10/2023,10.04,42.59,1.68,4.02,3.51,6.13,0.34,10.88,23.92,0.19,0.4,0.1,,
Baguio City,3/31/2023,16.89,37.24,2.74,6.1,5.55,6.38,0.34,26.08,26.62,0.35,0.49,0.1,,
Baguio City,3/12/2023,16.91,53.41,2.96,6.48,5.95,6.28,0.34,13.35,21.06,0.06,0.61,0.12,,
Baguio City,12/2/2023,16.58,49.22,3.22,6.38,6.1,6.23,0.46,11.57,21.64,0.22,0.5,0.1,,
Baguio City,6/6/2023,18.74,48.72,3.47,7.66,6.99,6.31,0.27,11.94,22.68,0.29,0.5,0.1,,
Baguio City,3/15/2023,15.59,50.75,3.17,10.11,8.05,6.98,0.41,11.86,22.62,0.12,1.08,0.16,,
Baguio City,7/8/2023,14.41,32.22,2.45,7.57,6.12,7.17,0.5,19.01,27.18,0.29,0.78,0.28,,
Baguio City,2/23/2023,16.14,48.99,2.07,6.74,5.37,6.66,0.6,15.64,31.28,0.28,0.94,0.14,,
Baguio City,2/2/2023,15.95,49.79,1.89,7.45,5.5,6.45,0.32,12.44,25.4,0.37,0.73,0.28,,
Baguio City,11/8/2023,20.95,31.71,2.21,12.32,6.04,20.39,0.45,16.43,37.42,0.11,0.86,0.24,,
Baguio City,12/6/2023,13.94,37.01,2.21,12.18,8.29,17.46,0.55,18.77,31.69,0.05,1.04,0.3,,
Baguio City,11/24/2023,20.79,36.76,3.3,11.48,8.92,17.92,0.89,18.89,31.23,0.15,1.48,0.26,,
Baguio City,3/2/2023,16.91,35.33,5.93,14.29,12.62,11.94,0.7,12.85,24.81,0.16,2.59,0.27,,
Baguio City,10/4/2023,20.99,35.2,5.09,11.78,10.49,12.69,0.46,14.24,17.41,0.12,2.45,0.54,,
Baguio City,7/19/2023,13.08,50.16,2.65,7.41,6.2,10.75,0.65,13.87,29.37,0.14,1.13,0.27,,
Baguio City,8/28/2023,18.84,33.3,3.19,7.96,6.83,9.64,0.45,13.99,26.75,0.05,1.45,0.37,,
Baguio City,6/13/2023,15.19,34.16,3.35,11.9,9.14,8.4,0.65,14.02,30.06,0.08,1.85,0.39,,
Baguio City,11/24/2023,15.57,52.16,2.67,12.02,8.66,12.43,0.72,15.53,47.76,0.37,4.97,0.46,,
Baguio City,5/16/2023,15.57,45.34,3.08,13.18,9.6,12.31,0.64,15.3,51.95,0.34,4.49,0.32,,
Baguio City,3/4/2023,19.53,50.12,5.32,13.02,11.34,10.32,0.52,11.22,28.81,0.26,4.8,0.42,,
Baguio City,6/16/2023,14.4,40.37,3.47,11.3,8.92,9.41,0.58,12.14,27.95,0.13,2.5,0.32,,
Baguio City,10/12/2023,15.12,42.92,3.08,10.61,8.24,10.25,0.47,11.83,29.61,0.21,3.14,0.24,,
Baguio City,2/24/2023,16.66,51.39,1.93,7.85,5.75,8.66,0.53,11.39,34.36,0.08,2,0.18,,
Baguio City,7/8/2023,10.75,37.82,3.25,12.56,9.33,8.36,0.72,8.72,29.54,0.2,3.97,0.22,,
Baguio City,7/24/2023,18.25,31.41,8.72,16.43,15.93,7.32,0.59,11.26,25.66,0.25,2.18,0.28,,
Baguio City,9/26/2023,19.56,35.69,3.84,13.51,10.4,8.03,0.72,10.68,23.48,0.15,1.74,0.16,,
Baguio City,7/25/2023,14.76,44.73,4.15,11.84,9.76,7.79,0.5,8.21,28.73,0.19,1.11,0.23,,
Baguio City,4/25/2023,12.47,53.23,3.75,10.7,8.83,7.21,0.46,5.29,25.04,0.14,1.46,0.16,,
Baguio City,11/16/2023,17.79,47.83,3.59,11.1,8.92,7.35,0.72,9.54,24.82,0.2,3.1,0.22,,
Baguio City,1/29/2023,13.99,33.59,3,9.97,7.46,8.32,0.76,14.66,22.53,0.23,3.37,0.22,,
Baguio City,3/3/2023,18.13,32.84,3.85,9.76,8.42,7.89,0.55,18.55,30.26,0.24,2.71,0.17,,
Baguio City,1/18/2023,19.99,50.99,3.98,13.01,10.25,8.33,0.65,15.46,29.36,0.22,3.84,0.24,,
Baguio City,11/14/2023,13.69,37.03,6.02,13.63,12.23,8.18,0.62,12.08,28.76,0.2,2.33,0.22,,
Baguio City,8/3/2023,10.83,44.7,7.47,13.82,13.43,6.44,0.64,11.34,25.6,0.27,4.01,0.29,,
Baguio City,8/26/2023,15.14,36.35,6,13.44,12.11,6.68,0.58,12.65,31.2,0.17,2.21,0.2,,
Baguio City,11/1/2023,15.74,52.55,7.8,11.45,12.51,7.12,0.6,11.51,31.08,0.16,1.6,0.16,,
Baguio City,3/6/2023,12.75,50.74,5.08,15.53,12.48,9.29,0.67,12.3,45.78,0.31,2.35,0.18,,
Baguio City,2/23/2023,19.61,40.95,4.62,20.7,14.85,10.74,0.68,17.89,41.87,0.44,5.99,0.21,,
